"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"1500000US210670005003","Block Group 3, Census Tract 5, Fayette County, Kentucky","75577","21836"
"1500000US210670007002","Block Group 2, Census Tract 7, Fayette County, Kentucky","58348","25883"
"1500000US210670014001","Block Group 1, Census Tract 14, Fayette County, Kentucky","24010","8425"
"1500000US210670017001","Block Group 1, Census Tract 17, Fayette County, Kentucky","114286","38098"
"1500000US210670017003","Block Group 3, Census Tract 17, Fayette County, Kentucky","41667","14888"
"1500000US210670022001","Block Group 1, Census Tract 22, Fayette County, Kentucky","62750","23045"
"1500000US210670022002","Block Group 2, Census Tract 22, Fayette County, Kentucky","61477","18210"
"1500000US210670042041","Block Group 1, Census Tract 42.04, Fayette County, Kentucky","59358","9349"
"1500000US210670027002","Block Group 2, Census Tract 27, Fayette County, Kentucky","43506","16766"
"1500000US210670042042","Block Group 2, Census Tract 42.04, Fayette County, Kentucky","72038","15995"
"1500000US210670006003","Block Group 3, Census Tract 6, Fayette County, Kentucky","64154","23327"
"1500000US210670006002","Block Group 2, Census Tract 6, Fayette County, Kentucky","97171","26879"
"1500000US210670037041","Block Group 1, Census Tract 37.04, Fayette County, Kentucky","82807","7387"
"1500000US210670037042","Block Group 2, Census Tract 37.04, Fayette County, Kentucky","75389","9787"
"1500000US210670038031","Block Group 1, Census Tract 38.03, Fayette County, Kentucky","80489","6514"
"1500000US210670038032","Block Group 2, Census Tract 38.03, Fayette County, Kentucky","57450","12615"
"1500000US210670038041","Block Group 1, Census Tract 38.04, Fayette County, Kentucky","49013","19526"
"1500000US210670038042","Block Group 2, Census Tract 38.04, Fayette County, Kentucky","29423","22440"
"1500000US210670039062","Block Group 2, Census Tract 39.06, Fayette County, Kentucky","97500","11064"
"1500000US210670039081","Block Group 1, Census Tract 39.08, Fayette County, Kentucky","63125","14490"
"1500000US210670039083","Block Group 3, Census Tract 39.08, Fayette County, Kentucky","70238","12552"
"1500000US210670039091","Block Group 1, Census Tract 39.09, Fayette County, Kentucky","54737","15960"
"1500000US210670039101","Block Group 1, Census Tract 39.10, Fayette County, Kentucky","44156","3455"
"1500000US210670039111","Block Group 1, Census Tract 39.11, Fayette County, Kentucky","46621","12092"
"1500000US210670039113","Block Group 3, Census Tract 39.11, Fayette County, Kentucky","32500","13709"
"1500000US210670039121","Block Group 1, Census Tract 39.12, Fayette County, Kentucky","46031","8354"
"1500000US210670039142","Block Group 2, Census Tract 39.14, Fayette County, Kentucky","94167","9005"
"1500000US210670039131","Block Group 1, Census Tract 39.13, Fayette County, Kentucky","152917","36422"
"1500000US210670039132","Block Group 2, Census Tract 39.13, Fayette County, Kentucky","57889","10394"
"1500000US210670039141","Block Group 1, Census Tract 39.14, Fayette County, Kentucky","34688","17362"
"1500000US210670039151","Block Group 1, Census Tract 39.15, Fayette County, Kentucky","121667","27596"
"1500000US210670039152","Block Group 2, Census Tract 39.15, Fayette County, Kentucky","125262","30050"
"1500000US210670039161","Block Group 1, Census Tract 39.16, Fayette County, Kentucky","-","**"
"1500000US210670039162","Block Group 2, Census Tract 39.16, Fayette County, Kentucky","133000","20973"
"1500000US210670039171","Block Group 1, Census Tract 39.17, Fayette County, Kentucky","60313","8146"
"1500000US210670039172","Block Group 2, Census Tract 39.17, Fayette County, Kentucky","79375","36642"
"1500000US210670039173","Block Group 3, Census Tract 39.17, Fayette County, Kentucky","-","**"
"1500000US210670039181","Block Group 1, Census Tract 39.18, Fayette County, Kentucky","85511","29544"
"1500000US210670033001","Block Group 1, Census Tract 33, Fayette County, Kentucky","35917","17732"
"1500000US210670024001","Block Group 1, Census Tract 24, Fayette County, Kentucky","45156","25621"
"1500000US210670024003","Block Group 3, Census Tract 24, Fayette County, Kentucky","49896","23687"
"1500000US210670025001","Block Group 1, Census Tract 25, Fayette County, Kentucky","63816","19332"
"1500000US210670034052","Block Group 2, Census Tract 34.05, Fayette County, Kentucky","71369","24789"
