GEO_ID,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
210670005003,"Block Group 3, Census Tract 5, Fayette County, Kentucky",747,128,730,128,0,11,0,11,0,11,0,11,0,11,17,19,0,11,17,19
210670007002,"Block Group 2, Census Tract 7, Fayette County, Kentucky",799,148,766,150,0,11,0,11,16,19,0,11,0,11,17,22,0,11,17,22
210670014001,"Block Group 1, Census Tract 14, Fayette County, Kentucky",1142,271,911,244,174,162,4,8,0,11,0,11,0,11,53,50,0,11,53,50
210670017001,"Block Group 1, Census Tract 17, Fayette County, Kentucky",479,147,466,146,0,11,0,11,0,11,0,11,0,11,13,20,0,11,13,20
210670017003,"Block Group 3, Census Tract 17, Fayette County, Kentucky",1010,344,835,328,164,131,0,11,0,11,0,11,0,11,11,20,0,11,11,20
210670022001,"Block Group 1, Census Tract 22, Fayette County, Kentucky",729,160,650,122,32,29,0,11,0,11,0,11,0,11,47,71,47,71,0,11
210670022002,"Block Group 2, Census Tract 22, Fayette County, Kentucky",999,154,515,97,179,103,23,35,101,72,80,75,51,63,50,36,5,7,45,38
210670042041,"Block Group 1, Census Tract 42.04, Fayette County, Kentucky",2009,410,1639,378,0,11,0,11,255,200,0,11,0,11,115,98,0,11,115,98
210670027002,"Block Group 2, Census Tract 27, Fayette County, Kentucky",1676,260,1306,254,157,120,0,11,38,63,0,11,50,83,125,105,0,11,125,105
210670042042,"Block Group 2, Census Tract 42.04, Fayette County, Kentucky",1816,384,1653,371,16,24,33,48,40,53,0,11,12,21,62,74,0,11,62,74
210670006003,"Block Group 3, Census Tract 6, Fayette County, Kentucky",1398,296,1398,296,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
210670006002,"Block Group 2, Census Tract 6, Fayette County, Kentucky",1370,336,1277,333,0,11,0,11,0,11,0,11,93,141,0,11,0,11,0,11
210670037041,"Block Group 1, Census Tract 37.04, Fayette County, Kentucky",1997,318,1598,255,284,162,0,11,12,18,0,11,31,40,72,61,35,46,37,41
210670037042,"Block Group 2, Census Tract 37.04, Fayette County, Kentucky",2028,465,1302,272,411,323,0,11,109,144,0,11,0,11,206,273,25,40,181,268
