HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,LAT,LONG,NAME
51425997,Private room,Nicholasville,21,5,2,1,60,37.854712,-84.605901,Peaceful Country Suite at The Farmette
51425997,Private room,Nicholasville,6,5,2,1,55,37.857264,-84.605086,Cozy Room with a View at The Farmette
29179817,Private room,Wilmore,0,0,2,1,119,37.858654,-84.659252,Newly remodeled with private bath!
29179817,Private room,Wilmore,0,0,2,1,119,37.858852,-84.659884,Newly remodeled! In-room bath!
11913760,Entire home/apt,Nicholasville,54,4.5,6,2,59,37.859183,-84.592899,Our Motel Beater
11913760,Entire home/apt,Nicholasville,46,4.5,7,2,59,37.859225,-84.593762,Ground Floor Comforts of Home
11913760,Entire home/apt,Nicholasville,53,4.5,7,2,59,37.859628,-84.592128,Comforts of home less than a motel
29179817,Private room,Wilmore,0,0,2,1,119,37.860053,-84.658583,The Ale-8 Room
11913760,Entire home/apt,Nicholasville,8,5,7,2,59,37.861532,-84.593482,Our Money Saver
46378394,Private room,Nicholasville,0,0,2,1,250,37.863251,-84.585317,"Master Suite south of Lexington, KY"
31803283,Private room,Wilmore,5,5,2,2,89,37.86652,-84.657647,1898 Red Bud Bed & Breakfast
21203601,Private room,Nicholasville,1,0,3,1,75,37.879468,-84.576441,ENTIRE Upstairs in LARGE/Keeneland
3869425,Entire home/apt,Nicholasville,16,4.5,6,2,90,37.882008,-84.569267,The Cottage of The Corner House B&B
3869425,Private room,Nicholasville,3,4.5,2,1,95,37.882025,-84.568006,The Suite
3869425,Private room,Nicholasville,9,5,2,1,90,37.882054,-84.567804,The Corner Room
3869425,Entire home/apt,Nicholasville,3,5,4,2,90,37.882103,-84.568865,Townhouse #1 @ The Corner House 
3869425,Entire home/apt,Nicholasville,16,5,4,2,90,37.882122,-84.569245,Townhouse #3 @ The Corner House 
3869425,Entire home/apt,Nicholasville,3,5,4,2,90,37.882193,-84.567866,Townhouse #5 @ The Corner House 
3869425,Private room,Nicholasville,9,5,2,1,100,37.883067,-84.568094,The Horse Room
3869425,Entire home/apt,Nicholasville,14,4.5,4,2,90,37.883537,-84.56914,Townhouse #4 @ The Corner House B&B
22276456,Entire home/apt,Nicholasville,44,5,5,2,119,37.895205,-84.635078,Full walk out basement to stay in.
11913760,Entire home/apt,Nicholasville,30,4.5,12,3,78,37.896143,-84.561139,Cozy Home Convenient to Lexington
11913760,Entire home/apt,Nicholasville,16,5,7,3,82,37.897192,-84.560774,Our Kentucky Home
21203601,Private room,Nicholasville,0,0,3,1,200,37.901651,-84.557314,Close to Keeneland
15573850,Entire home/apt,Nicholasville,0,0,4,1,750,37.913891,-84.616685,BREEDER'S CUP Kinlark - Guest House
15573850,Entire home/apt,Nicholasville,0,0,10,5,2000,37.914082,-84.617919,BREEDER'S CUP - Kinlark
96323437,Entire home/apt,Nicholasville,0,0,2,1,150,37.914916,-84.618507,Full floor-Pvt Home-LR.Bd&Bath2000s
26701477,Entire home/apt,Nicholasville,60,5,2,1,100,37.918768,-84.612312,The Grain House
96323437,Entire home/apt,Nicholasville,1,0,4,1,59,37.919091,-84.617513,Horse Country Carriage House
64804299,Entire home/apt,Nicholasville,14,5,4,1,75,37.923263,-84.536437,Horse Lover's Dream Serene Studio
64804299,Entire home/apt,Nicholasville,9,5,5,1,99,37.923395,-84.536687,Amazing Horse Farm near Keeneland
28654243,Entire home/apt,Nicholasville,0,0,3,1,1500,37.925066,-84.540752,Cabin on Thoroughbred Horse Farm
16439109,Entire home/apt,Lexington,4,5,15,6,1000,37.934203,-84.4585,Fairyhouse Hall Estate Private Chef
72470131,Entire home/apt,Winchester,6,5,6,3,300,37.941993,-84.283448,The Peach House: Kentucky's Vineyard Getaway
29345340,Entire home/apt,Nicholasville,0,0,5,1,900,37.953807,-84.591522,House on 8 1/2 acres - awesome!
39259653,Entire home/apt,Lexington,7,5,4,2,95,37.95679,-84.451442,Cozy Country Setting
43636408,Entire home/apt,Lexington,1,0,4,2,120,37.959624,-84.480876,Quiet Townhome Close to Everything
39754039,Entire home/apt,Lexington,1,0,4,2,82,37.966213,-84.464961,Secluded Home in the Hartland Area!
56130860,Entire home/apt,Lexington,0,0,10,5,299,37.971152,-84.55663,Spacious house in lexington close to Fayette mall
32915010,Entire home/apt,Lexington,0,0,6,3,225,37.971228,-84.545067,Beautiful 3 Bedroom Home
