HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,NUM_LIST,MULT_LIST,LAT,LONG,NAME
669799,Entire home/apt,Lexington,38,5,3,1,89,2,Yes,38.038665,-84.489846,Cute carriage house near downtown!
669799,Entire home/apt,Lexington,33,5,6,2,115,2,Yes,38.038851,-84.4915,The White House - close to downtown
868897,Entire home/apt,Lexington,55,5,4,2,95,1,No,38.018785,-84.47244,WINTER SALE: Luxury + Style Near All - Large 2/2
951005,Entire home/apt,Lexington,3,5,4,1,68,1,No,38.028777,-84.482484,Artist Garden Getaway: Entire Home @ Historic Park
1219830,Entire home/apt,Lexington,0,0,4,2,1150,1,No,38.052031,-84.500719,City Center TownHome for Breeders
1284004,Entire home/apt,Lexington,0,0,5,2,950,1,No,38.043129,-84.49279,Downtown Condo
1537532,Entire home/apt,Lexington,0,0,4,3,175,1,No,38.039868,-84.492984,Entire 1920s Bungalow Near Downtown/UK
1841050,Private room,Lexington,121,5,6,1,66,1,No,38.054524,-84.479299,Super Hip Bunk Room for 6 People
2048604,Entire home/apt,Lexington,42,5,4,2,64,1,No,38.023292,-84.509363,Entire 2nd floor close to UK campus
2189334,Entire home/apt,Lexington,0,0,2,1,48,1,No,37.988156,-84.514178,Simple furnished apartment
2242410,Entire home/apt,Lexington,37,5,4,2,85,1,No,38.037853,-84.459412,"Purple Door, Tiny House"
2321088,Private room,Lexington,27,4.5,2,1,45,1,No,38.098472,-84.541925,Comfortable house in Lexington
2647381,Private room,Lexington,26,5,2,1,79,1,No,38.185803,-84.418281,Working farm near Ky. Horse Park
3124985,Entire home/apt,Lexington,1,0,5,2,165,1,No,38.034612,-84.476907,Adorable 1920's Bungalow
3735352,Private room,Lexington,72,5,2,1,69,2,Yes,38.051231,-84.475688,Churchill Room-City of Lexington
3735352,Private room,Lexington,14,4.5,1,1,65,2,Yes,38.053159,-84.474779,Keeneland Room-City of Lexingtonhtt
3860375,Private room,Lexington,51,5,2,1,53,1,No,38.009374,-84.493273,Cozy suite on lovely quiet street
3869425,Entire home/apt,Nicholasville,16,4.5,6,2,90,8,Yes,37.882008,-84.569267,The Cottage of The Corner House B&B
3869425,Private room,Nicholasville,3,4.5,2,1,95,8,Yes,37.882025,-84.568006,The Suite
3869425,Private room,Nicholasville,9,5,2,1,90,8,Yes,37.882054,-84.567804,The Corner Room
3869425,Entire home/apt,Nicholasville,3,5,4,2,90,8,Yes,37.882103,-84.568865,Townhouse #1 @ The Corner House 
3869425,Entire home/apt,Nicholasville,16,5,4,2,90,8,Yes,37.882122,-84.569245,Townhouse #3 @ The Corner House 
3869425,Entire home/apt,Nicholasville,3,5,4,2,90,8,Yes,37.882193,-84.567866,Townhouse #5 @ The Corner House 
3869425,Private room,Nicholasville,9,5,2,1,100,8,Yes,37.883067,-84.568094,The Horse Room
3869425,Entire home/apt,Nicholasville,14,4.5,4,2,90,8,Yes,37.883537,-84.56914,Townhouse #4 @ The Corner House B&B
4538953,Private room,Lexington,48,5,4,1,95,3,Yes,38.052583,-84.504877,Cozy Attic Room in House Downtown
4538953,Private room,Lexington,9,5,2,1,55,3,Yes,38.054025,-84.504665,Downtown Room on Main-Private Room
4538953,Private room,Lexington,90,5,3,1,59,3,Yes,38.054592,-84.504146,Private Room - 2 Beds in Downtown
4892989,Entire home/apt,Lexington,1,0,5,2,275,2,Yes,38.047202,-84.502728,Dramatique - Downtown Lexington Condo
4892989,Entire home/apt,Lexington,26,5,5,2,250,2,Yes,38.047598,-84.503176,Stylish Condo Next to Rupp Arena
5050541,Entire home/apt,Lexington,19,5,8,4,135,2,Yes,38.038221,-84.520869,Charming Four Bedroom Cape Cod
5050541,Entire home/apt,Lexington,89,5,4,1,89,2,Yes,38.059503,-84.496693,Charming Row House Near Breweries
5341075,Private room,Lexington,14,5,4,1,34,1,No,38.040152,-84.559056,Welcome Equestrians and UK Sports Fans
5649643,Private room,Lexington,102,5,3,1,60,1,No,38.00348,-84.510934,Private suite in walkout basement
5676309,Private room,Lexington,1,0,2,1,68,2,Yes,38.063972,-84.454873,Cozy City Retreat w/Great Location and more!
5676309,Private room,Lexington,8,5,2,1,68,2,Yes,38.065747,-84.456338,"Cozy City Retreat, Great Location!"
6065054,Private room,Lexington,21,5,1,1,74,1,No,38.028788,-84.496715,Bungalow Bordering UK's Campus
6384951,Entire home/apt,Lexington,19,5,2,1,55,1,No,38.049924,-84.490329,Unique Apartment Downtown
